2025-11-05 15:22:06 | 세션 시작: session_016
2025-11-05 15:22:06 | 폴더 경로: experiments/20251105/20251105_152206_session_016
2025-11-05 15:22:06 | 설정 파일 저장: db_config.yaml
2025-11-05 15:22:06 | 설정 파일 저장: model_config.yaml
2025-11-05 15:22:06 | 설정 파일 저장: multi_request_patterns.yaml
2025-11-05 15:22:06 | Agent 그래프 생성 시작
2025-11-05 15:22:06 | Fallback Chain 활성화
2025-11-05 15:22:06 | 최대 재시도 횟수: 3
2025-11-05 15:22:06 | Router 검증 활성화: True
2025-11-05 15:22:06 | Agent 그래프 컴파일 완료
2025-11-05 15:22:06 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:06 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:06 | 질문 유형 분류 완료: term_definition
2025-11-05 15:22:06 | Fallback Chain 상태 초기화 완료
2025-11-05 15:22:06 | 질문 유형: term_definition
2025-11-05 15:22:06 | Fallback Chain: glossary → general
2025-11-05 15:22:06 | 라우터 노드 실행: Transformer가 뭐야?
2025-11-05 15:22:07 | 질문 유형 기반 라우팅: term_definition → glossary
2025-11-05 15:22:07 | 최종 선택 도구: glossary
2025-11-05 15:22:08 | pgvector 검색 기록: glossary
2025-11-05 15:22:08 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:08 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:08 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:08 | 최종 프롬프트 저장 완료
2025-11-05 15:22:11 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:11 | 최종 프롬프트 저장 완료
2025-11-05 15:22:14 | 도구 실행 성공: glossary
2025-11-05 15:22:14 | Agent 그래프 생성 시작
2025-11-05 15:22:14 | Fallback Chain 활성화
2025-11-05 15:22:14 | 최대 재시도 횟수: 3
2025-11-05 15:22:14 | Router 검증 활성화: True
2025-11-05 15:22:14 | Agent 그래프 컴파일 완료
2025-11-05 15:22:14 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:14 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:15 | 질문 유형 분류 완료: paper_search
2025-11-05 15:22:15 | Fallback Chain 상태 초기화 완료
2025-11-05 15:22:15 | 질문 유형: paper_search
2025-11-05 15:22:15 | Fallback Chain: search_paper → web_search → general
2025-11-05 15:22:15 | 라우터 노드 실행: Transformer 관련 논문 찾아줘
2025-11-05 15:22:15 | 질문 유형 기반 라우팅: paper_search → search_paper
2025-11-05 15:22:15 | 최종 선택 도구: search_paper
2025-11-05 15:22:15 | pgvector 검색 기록: search_paper
2025-11-05 15:22:15 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:15 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:15 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:15 | 최종 프롬프트 저장 완료
2025-11-05 15:22:18 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:18 | 최종 프롬프트 저장 완료
2025-11-05 15:22:24 | 도구 실행 성공: search_paper
2025-11-05 15:22:24 | Agent 그래프 생성 시작
2025-11-05 15:22:24 | Fallback Chain 활성화
2025-11-05 15:22:24 | 최대 재시도 횟수: 3
2025-11-05 15:22:24 | Router 검증 활성화: True
2025-11-05 15:22:24 | Agent 그래프 컴파일 완료
2025-11-05 15:22:24 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:24 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:25 | 질문 유형 분류 완료: statistics
2025-11-05 15:22:25 | Fallback Chain 상태 초기화 완료
2025-11-05 15:22:25 | 질문 유형: statistics
2025-11-05 15:22:25 | Fallback Chain: text2sql → general
2025-11-05 15:22:25 | 라우터 노드 실행: 2024년에 나온 AI 논문 몇 개야?
2025-11-05 15:22:25 | 질문 유형 기반 라우팅: statistics → text2sql
2025-11-05 15:22:25 | 최종 선택 도구: text2sql
2025-11-05 15:22:25 | Text-to-SQL 노드 실행: 2024년에 나온 AI 논문 몇 개야?
2025-11-05 15:22:27 | SQL 실행 완료: 204 글자
2025-11-05 15:22:27 | 도구 실행 성공: text2sql
2025-11-05 15:22:27 | Agent 그래프 생성 시작
2025-11-05 15:22:27 | Fallback Chain 활성화
2025-11-05 15:22:27 | 최대 재시도 횟수: 3
2025-11-05 15:22:27 | Router 검증 활성화: True
2025-11-05 15:22:27 | Agent 그래프 컴파일 완료
2025-11-05 15:22:27 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:27 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:28 | 질문 유형 분류 완료: latest_research
2025-11-05 15:22:28 | Fallback Chain 상태 초기화 완료
2025-11-05 15:22:28 | 질문 유형: latest_research
2025-11-05 15:22:28 | Fallback Chain: web_search → search_paper → general
2025-11-05 15:22:28 | 라우터 노드 실행: 최신 AI 뉴스 알려줘
2025-11-05 15:22:28 | 질문 유형 기반 라우팅: latest_research → web_search
2025-11-05 15:22:28 | 최종 선택 도구: web_search
2025-11-05 15:22:30 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:30 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:30 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:30 | 최종 프롬프트 저장 완료
2025-11-05 15:22:35 | 시스템 프롬프트 저장 완료
2025-11-05 15:22:35 | 최종 프롬프트 저장 완료
2025-11-05 15:22:43 | 도구 실행 성공: web_search
2025-11-05 15:22:43 | Agent 그래프 생성 시작
2025-11-05 15:22:43 | Fallback Chain 활성화
2025-11-05 15:22:43 | 최대 재시도 횟수: 3
2025-11-05 15:22:43 | Router 검증 활성화: True
2025-11-05 15:22:43 | Agent 그래프 컴파일 완료
2025-11-05 15:22:43 | 난이도별 LLM 선택: difficulty=easy, provider=solar, model=solar-pro2
2025-11-05 15:22:43 | LLM 초기화: provider=solar, model=solar-pro2
2025-11-05 15:22:44 | 질문 유형 분류 완료: paper_summary
2025-11-05 15:22:44 | Fallback Chain 상태 초기화 완료
2025-11-05 15:22:44 | 질문 유형: paper_summary
2025-11-05 15:22:44 | Fallback Chain: summarize → search_paper → general
2025-11-05 15:22:44 | 라우터 노드 실행: "Attention Is All You Need" 논문 요약해줘
2025-11-05 15:22:44 | 다중 요청 감지: ['논문', '요약'] → ['search_paper', 'summarize']
2025-11-05 15:22:44 | 패턴 설명: 논문 + 요약 키워드
